Hiragana,Meaning
やり,
やりとり,
やるき,
ゆうえんち,
ゆうき,
ゆうぎ,
ゆうきんらっしゅ,
ゆうぐれ,
ゆうじょう,
ゆうじん,
ゆうずう,
ゆうびんばんごう,
ゆーふぉー,
ゆうやけ,
ゆうりょう,
ゆかた,
ゆきぐに,
ゆしゅつ,
ゆとり,
ゆにせっくす,
ゆにゅう,
ゆねすこ,
ゆび,
ゆびさき,
ゆらい,
よあけ,
よういん,
ようご,
ようし,
ようしょうき,
ようせき,
ようそ,
ようちえん,
ようと,
ようれい,
よく,
よこじく,
よこならび,
よこばい,
よこみち,
よさん,
よしあし,
よじじゅくご,
よせん,
よっと,
よとう,
よなか,
よのなか,
よび,
よびこう,
よみょう,
よゆう,
よるがた,
よわび,
よわみ,
らーめん,
らいおん,
らいたー,
らいだーきっく,
らいはびりてーしょん,
らいばる,
らいぶこんさーと,
らくご,
らくさつ,
らくせき,
らぐびー,
らすとしーん,
らっぱ,
らてあーと,
らぶれたー,
らべる,
らむね,
らんきんぐ,
らんてんご,
りーぐせん,
りーだー,
りか,
りくつ,
りけい,
りこーる,
りさいくる,
りすと,
りっとる,
りっぽうめーとる,
りてん,
りぴーたー,
りゃくご,
りゃくだつ,
りゅうとうだび,
りゅっくさっく,
りょういき,
りょうがわ,
りょうきん,
りょうしゅうしょ,
りれき,
りれきしょ,
りろん,
りんぎょう,
りんご,赤い果実．りんご食べるんご．
りんじ,
りんり,
るいぎご,
るいじんえん,
るいしんかぜい,
るーる,
るーれっと,
れい,
れいてん～,
れいねん,
れきし,
れじ,
れしーと,
れじゅめ,
れつ,
れってる,
れっど,
れっとう,
れべる,
れぽーと,
れんしゅう,
れんたるりょう,
れんちゅう,
れんらくさき,
ろうご,
ろうじんほーむ,
ろうそく,
ろうば,
ろーぷ,
ろくおん,
ろくがつ,
ろけっと,
ろてん,
ろてんぶろ,
ろぼっと,
わ,
わいんれっど,
わえいじてん,
わがしゃ,
わかもの,
わご,
わごむ,
わざわい,
わせいえいご,
わだい,
わたくしども,
わな,
わふう,
わらい,
わりあい,
わりかん,
わりびきけん,
わるもの,
われわれ,
